Area,Item,Element,Year,Value
Indonesia,Potatoes,Crop residues (Emissions N2O),1965,0.0062
Indonesia,Potatoes,Crop residues (Emissions N2O),1966,0.0076
Indonesia,Potatoes,Crop residues (Emissions N2O),1967,0.009
Indonesia,Potatoes,Crop residues (Emissions N2O),1968,0.0072
Indonesia,Potatoes,Crop residues (Emissions N2O),1969,0.0102
Indonesia,Potatoes,Crop residues (Emissions N2O),1970,0.0067
Indonesia,Potatoes,Crop residues (Emissions N2O),1971,0.0098
Indonesia,Potatoes,Crop residues (Emissions N2O),1972,0.0094
Indonesia,Potatoes,Crop residues (Emissions N2O),1973,0.0123
Indonesia,Potatoes,Crop residues (Emissions N2O),1974,0.0095
Indonesia,Potatoes,Crop residues (Emissions N2O),1975,0.0094
Indonesia,Potatoes,Crop residues (Emissions N2O),1976,0.0112
Indonesia,Potatoes,Crop residues (Emissions N2O),1977,0.0138
Indonesia,Potatoes,Crop residues (Emissions N2O),1978,0.0154
Indonesia,Potatoes,Crop residues (Emissions N2O),1979,0.0128
Indonesia,Potatoes,Crop residues (Emissions N2O),1980,0.0145
Indonesia,Potatoes,Crop residues (Emissions N2O),1981,0.0166
Indonesia,Potatoes,Crop residues (Emissions N2O),1982,0.0115
Indonesia,Potatoes,Crop residues (Emissions N2O),1983,0.0173
Indonesia,Potatoes,Crop residues (Emissions N2O),1984,0.0207
Indonesia,Potatoes,Crop residues (Emissions N2O),1985,0.0205
Indonesia,Potatoes,Crop residues (Emissions N2O),1986,0.0239
Indonesia,Potatoes,Crop residues (Emissions N2O),1987,0.0203
Indonesia,Potatoes,Crop residues (Emissions N2O),1988,0.0241
Indonesia,Potatoes,Crop residues (Emissions N2O),1989,0.0269
Indonesia,Potatoes,Crop residues (Emissions N2O),1990,0.0304
Indonesia,Potatoes,Crop residues (Emissions N2O),1991,0.0264
Indonesia,Potatoes,Crop residues (Emissions N2O),1992,0.0336
Indonesia,Potatoes,Crop residues (Emissions N2O),1993,0.0366
Indonesia,Potatoes,Crop residues (Emissions N2O),1994,0.04
Indonesia,Potatoes,Crop residues (Emissions N2O),1995,0.0456
Indonesia,Potatoes,Crop residues (Emissions N2O),1996,0.0502
Indonesia,Potatoes,Crop residues (Emissions N2O),1997,0.0363
Indonesia,Potatoes,Crop residues (Emissions N2O),1998,0.046
Indonesia,Potatoes,Crop residues (Emissions N2O),1999,0.0436
Indonesia,Potatoes,Crop residues (Emissions N2O),2000,0.0489
Indonesia,Potatoes,Crop residues (Emissions N2O),2001,0.039
Indonesia,Potatoes,Crop residues (Emissions N2O),2002,0.0408
Indonesia,Potatoes,Crop residues (Emissions N2O),2003,0.0466
Indonesia,Potatoes,Crop residues (Emissions N2O),2004,0.0476
Indonesia,Potatoes,Crop residues (Emissions N2O),2005,0.0448
Indonesia,Potatoes,Crop residues (Emissions N2O),2006,0.0441
Indonesia,Potatoes,Crop residues (Emissions N2O),2007,0.045
Indonesia,Potatoes,Crop residues (Emissions N2O),2008,0.0459
Indonesia,Potatoes,Crop residues (Emissions N2O),2009,0.052
Indonesia,Potatoes,Crop residues (Emissions N2O),2010,0.0478
Indonesia,Potatoes,Crop residues (Emissions N2O),2011,0.043
Indonesia,Potatoes,Crop residues (Emissions N2O),2012,0.0482
Indonesia,Potatoes,Crop residues (Emissions N2O),2013,0.0505
Indonesia,Potatoes,Crop residues (Emissions N2O),2014,0.0574
Indonesia,Potatoes,Crop residues (Emissions N2O),2015,0.0511
Indonesia,Potatoes,Crop residues (Emissions N2O),2016,0.0507
Indonesia,Potatoes,Crop residues (Emissions N2O),2017,0.0535
Indonesia,Potatoes,Crop residues (Emissions N2O),2018,0.053
Indonesia,Potatoes,Crop residues (Emissions N2O),2019,0.0534
Indonesia,Potatoes,Crop residues (Emissions N2O),2020,0.0517
Indonesia,Potatoes,Crop residues (Emissions N2O),2021,0.0558
Indonesia,Potatoes,Crop residues (Emissions N2O),2022,0.0606
Indonesia,Potatoes,Crop residues (Emissions N2O),2030,0.0703
Indonesia,Potatoes,Crop residues (Emissions N2O),2050,0.0991
Japan,Sugar cane,Crops total (Emissions N2O),1990,0.0011
Japan,Sugar cane,Crops total (Emissions N2O),1991,0.001
Japan,Sugar cane,Crops total (Emissions N2O),1992,0.0009
Japan,Sugar cane,Crops total (Emissions N2O),1993,0.0009
Japan,Sugar cane,Crops total (Emissions N2O),1994,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),1995,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),1996,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),1997,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),1998,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),1999,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2000,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2001,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2002,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2003,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2004,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2005,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2006,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2007,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2008,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2009,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2010,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2011,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2012,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2013,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2014,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2015,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2016,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2017,0.0008
Japan,Sugar cane,Crops total (Emissions N2O),2018,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2019,0.0007
Japan,Sugar cane,Crops total (Emissions N2O),2020,0.0007
Japan,Sugar cane,Crops total (Emissions CH4),1990,0.0417
Japan,Sugar cane,Crops total (Emissions CH4),1991,0.0383
Japan,Sugar cane,Crops total (Emissions CH4),1992,0.0352
Japan,Sugar cane,Crops total (Emissions CH4),1993,0.0329
Japan,Sugar cane,Crops total (Emissions CH4),1994,0.0315
Japan,Sugar cane,Crops total (Emissions CH4),1995,0.0306
Japan,Sugar cane,Crops total (Emissions CH4),1996,0.0302
Japan,Sugar cane,Crops total (Emissions CH4),1997,0.0286
Japan,Sugar cane,Crops total (Emissions CH4),1998,0.0285
Japan,Sugar cane,Crops total (Emissions CH4),1999,0.029
Japan,Sugar cane,Crops total (Emissions CH4),2000,0.0294
Japan,Sugar cane,Crops total (Emissions CH4),2001,0.029
Japan,Sugar cane,Crops total (Emissions CH4),2002,0.0302
Japan,Sugar cane,Crops total (Emissions CH4),2003,0.0304
Japan,Sugar cane,Crops total (Emissions CH4),2004,0.0295
Japan,Sugar cane,Crops total (Emissions CH4),2005,0.0271
Japan,Sugar cane,Crops total (Emissions CH4),2006,0.0276
Japan,Sugar cane,Crops total (Emissions CH4),2007,0.0281
Japan,Sugar cane,Crops total (Emissions CH4),2008,0.0282
Japan,Sugar cane,Crops total (Emissions CH4),2009,0.0292
Japan,Sugar cane,Crops total (Emissions CH4),2010,0.0295
Japan,Sugar cane,Crops total (Emissions CH4),2011,0.0287
Japan,Sugar cane,Crops total (Emissions CH4),2012,0.0292
Japan,Sugar cane,Crops total (Emissions CH4),2013,0.0278
Japan,Sugar cane,Crops total (Emissions CH4),2014,0.0291
Japan,Sugar cane,Crops total (Emissions CH4),2015,0.0297
Japan,Sugar cane,Crops total (Emissions CH4),2016,0.0291
Japan,Sugar cane,Crops total (Emissions CH4),2017,0.0301
Japan,Sugar cane,Crops total (Emissions CH4),2018,0.0287
Japan,Sugar cane,Crops total (Emissions CH4),2019,0.0281
Japan,Sugar cane,Crops total (Emissions CH4),2020,0.0286
Japan,Sugar cane,Crop residues (Emissions N2O),1961,
Japan,Sugar cane,Crop residues (Emissions N2O),1962,
Japan,Sugar cane,Crop residues (Emissions N2O),1963,
Japan,Sugar cane,Crop residues (Emissions N2O),1964,
Japan,Sugar cane,Crop residues (Emissions N2O),1965,
Japan,Sugar cane,Crop residues (Emissions N2O),1966,
Japan,Sugar cane,Crop residues (Emissions N2O),1967,
Japan,Sugar cane,Crop residues (Emissions N2O),1968,
Japan,Sugar cane,Crop residues (Emissions N2O),1969,
Japan,Sugar cane,Crop residues (Emissions N2O),1970,
Japan,Sugar cane,Crop residues (Emissions N2O),1971,
Japan,Sugar cane,Crop residues (Emissions N2O),1972,
Japan,Sugar cane,Crop residues (Emissions N2O),1973,
Japan,Sugar cane,Crop residues (Emissions N2O),1974,
Japan,Sugar cane,Crop residues (Emissions N2O),1975,
Japan,Sugar cane,Crop residues (Emissions N2O),1976,
Japan,Sugar cane,Crop residues (Emissions N2O),1977,
Japan,Sugar cane,Crop residues (Emissions N2O),1978,
Japan,Sugar cane,Crop residues (Emissions N2O),1979,
Japan,Sugar cane,Crop residues (Emissions N2O),1980,
Japan,Sugar cane,Crop residues (Emissions N2O),1981,
Japan,Sugar cane,Crop residues (Emissions N2O),1982,
Japan,Sugar cane,Crop residues (Emissions N2O),1983,
Japan,Sugar cane,Crop residues (Emissions N2O),1984,
Japan,Sugar cane,Crop residues (Emissions N2O),1985,
Japan,Sugar cane,Crop residues (Emissions N2O),1986,
Japan,Sugar cane,Crop residues (Emissions N2O),1987,
Japan,Sugar cane,Crop residues (Emissions N2O),1988,
Japan,Sugar cane,Crop residues (Emissions N2O),1989,
Japan,Sugar cane,Crop residues (Emissions N2O),1990,
Japan,Sugar cane,Crop residues (Emissions N2O),1991,
Japan,Sugar cane,Crop residues (Emissions N2O),1992,
Japan,Sugar cane,Crop residues (Emissions N2O),1993,
Japan,Sugar cane,Crop residues (Emissions N2O),1994,
Japan,Sugar cane,Crop residues (Emissions N2O),1995,
Japan,Sugar cane,Crop residues (Emissions N2O),1996,
Japan,Sugar cane,Crop residues (Emissions N2O),1997,
Japan,Sugar cane,Crop residues (Emissions N2O),1998,
Japan,Sugar cane,Crop residues (Emissions N2O),1999,
Japan,Sugar cane,Crop residues (Emissions N2O),2000,
Japan,Sugar cane,Crop residues (Emissions N2O),2001,
Japan,Sugar cane,Crop residues (Emissions N2O),2002,
Japan,Sugar cane,Crop residues (Emissions N2O),2003,
Japan,Sugar cane,Crop residues (Emissions N2O),2004,
Japan,Sugar cane,Crop residues (Emissions N2O),2005,
Japan,Sugar cane,Crop residues (Emissions N2O),2006,
Japan,Sugar cane,Crop residues (Emissions N2O),2007,
Japan,Sugar cane,Crop residues (Emissions N2O),2008,
Japan,Sugar cane,Crop residues (Emissions N2O),2009,
Japan,Sugar cane,Crop residues (Emissions N2O),2010,
Japan,Sugar cane,Crop residues (Emissions N2O),2011,
Japan,Sugar cane,Crop residues (Emissions N2O),2012,
Japan,Sugar cane,Crop residues (Emissions N2O),2013,
Japan,Sugar cane,Crop residues (Emissions N2O),2014,
Japan,Sugar cane,Crop residues (Emissions N2O),2015,
Japan,Sugar cane,Crop residues (Emissions N2O),2016,
Japan,Sugar cane,Crop residues (Emissions N2O),2017,
Japan,Sugar cane,Crop residues (Emissions N2O),2018,
Japan,Sugar cane,Crop residues (Emissions N2O),2019,
Japan,Sugar cane,Crop residues (Emissions N2O),2020,
Japan,Sugar cane,Crop residues (Emissions N2O),2021,
Japan,Sugar cane,Crop residues (Emissions N2O),2022,
Japan,Sugar cane,Crop residues (Emissions N2O),2030,
Japan,Sugar cane,Crop residues (Emissions N2O),2050,
Japan,Sugar cane,Burning crop residues (Emissions N2O),1961,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),1962,0.0012
Japan,Sugar cane,Burning crop residues (Emissions N2O),1963,0.0014
Japan,Sugar cane,Burning crop residues (Emissions N2O),1964,0.0018
Japan,Sugar cane,Burning crop residues (Emissions N2O),1965,0.002
Japan,Sugar cane,Burning crop residues (Emissions N2O),1966,0.0019
Japan,Sugar cane,Burning crop residues (Emissions N2O),1967,0.0019
Japan,Sugar cane,Burning crop residues (Emissions N2O),1968,0.0019
Japan,Sugar cane,Burning crop residues (Emissions N2O),1969,0.0019
Japan,Sugar cane,Burning crop residues (Emissions N2O),1970,0.0018
Japan,Sugar cane,Burning crop residues (Emissions N2O),1971,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1972,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1973,0.0014
Japan,Sugar cane,Burning crop residues (Emissions N2O),1974,0.0014
Japan,Sugar cane,Burning crop residues (Emissions N2O),1975,0.0014
Japan,Sugar cane,Burning crop residues (Emissions N2O),1976,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1977,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1978,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1979,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1980,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1981,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1982,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1983,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1984,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1985,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1986,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1987,0.0016
Japan,Sugar cane,Burning crop residues (Emissions N2O),1988,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1989,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1990,0.0015
Japan,Sugar cane,Burning crop residues (Emissions N2O),1990,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),1991,0.0014
Japan,Sugar cane,Burning crop residues (Emissions N2O),1991,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),1992,0.0013
Japan,Sugar cane,Burning crop residues (Emissions N2O),1992,0.0009
Japan,Sugar cane,Burning crop residues (Emissions N2O),1993,0.0012
Japan,Sugar cane,Burning crop residues (Emissions N2O),1993,0.0009
Japan,Sugar cane,Burning crop residues (Emissions N2O),1994,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),1994,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),1995,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),1995,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),1996,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),1996,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),1997,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),1997,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),1998,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),1998,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),1999,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),1999,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2000,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2000,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2001,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2001,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2002,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2002,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2003,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2003,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2004,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2004,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2005,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2005,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2006,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2006,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2007,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2007,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2008,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2008,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2009,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2009,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2010,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2010,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2011,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2011,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2012,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2012,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2013,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2013,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2014,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2014,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2015,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2015,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2016,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2016,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2017,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2017,0.0008
Japan,Sugar cane,Burning crop residues (Emissions N2O),2018,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2018,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2019,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2019,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2020,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2020,0.0007
Japan,Sugar cane,Burning crop residues (Emissions N2O),2021,0.0011
Japan,Sugar cane,Burning crop residues (Emissions N2O),2022,0.001
Japan,Sugar cane,Burning crop residues (Emissions N2O),2030,0.0009
Japan,Sugar cane,Burning crop residues (Emissions N2O),2050,0.0009
Japan,Sugar cane,Burning crop residues (Emissions CH4),1961,0.037
Japan,Sugar cane,Burning crop residues (Emissions CH4),1962,0.0465
Japan,Sugar cane,Burning crop residues (Emissions CH4),1963,0.0537
Japan,Sugar cane,Burning crop residues (Emissions CH4),1964,0.069
Japan,Sugar cane,Burning crop residues (Emissions CH4),1965,0.0767
Japan,Sugar cane,Burning crop residues (Emissions CH4),1966,0.0751
Japan,Sugar cane,Burning crop residues (Emissions CH4),1967,0.0718
Japan,Sugar cane,Burning crop residues (Emissions CH4),1968,0.0721
Japan,Sugar cane,Burning crop residues (Emissions CH4),1969,0.0734
Japan,Sugar cane,Burning crop residues (Emissions CH4),1970,0.0702
Japan,Sugar cane,Burning crop residues (Emissions CH4),1971,0.0598
Japan,Sugar cane,Burning crop residues (Emissions CH4),1972,0.0593
Japan,Sugar cane,Burning crop residues (Emissions CH4),1973,0.0523
Japan,Sugar cane,Burning crop residues (Emissions CH4),1974,0.0527
Japan,Sugar cane,Burning crop residues (Emissions CH4),1975,0.0537
Japan,Sugar cane,Burning crop residues (Emissions CH4),1976,0.056
Japan,Sugar cane,Burning crop residues (Emissions CH4),1977,0.0572
Japan,Sugar cane,Burning crop residues (Emissions CH4),1978,0.0598
Japan,Sugar cane,Burning crop residues (Emissions CH4),1979,0.0618
Japan,Sugar cane,Burning crop residues (Emissions CH4),1980,0.0593
Japan,Sugar cane,Burning crop residues (Emissions CH4),1981,0.0614
Japan,Sugar cane,Burning crop residues (Emissions CH4),1982,0.0595
Japan,Sugar cane,Burning crop residues (Emissions CH4),1983,0.0618
Japan,Sugar cane,Burning crop residues (Emissions CH4),1984,0.0616
Japan,Sugar cane,Burning crop residues (Emissions CH4),1985,0.0627
Japan,Sugar cane,Burning crop residues (Emissions CH4),1986,0.0611
Japan,Sugar cane,Burning crop residues (Emissions CH4),1987,0.0612
Japan,Sugar cane,Burning crop residues (Emissions CH4),1988,0.0596
Japan,Sugar cane,Burning crop residues (Emissions CH4),1989,0.059
Japan,Sugar cane,Burning crop residues (Emissions CH4),1990,0.0576
Japan,Sugar cane,Burning crop residues (Emissions CH4),1990,0.0417
Japan,Sugar cane,Burning crop residues (Emissions CH4),1991,0.0528
Japan,Sugar cane,Burning crop residues (Emissions CH4),1991,0.0383
Japan,Sugar cane,Burning crop residues (Emissions CH4),1992,0.0486
Japan,Sugar cane,Burning crop residues (Emissions CH4),1992,0.0352
Japan,Sugar cane,Burning crop residues (Emissions CH4),1993,0.0455
Japan,Sugar cane,Burning crop residues (Emissions CH4),1993,0.0329
Japan,Sugar cane,Burning crop residues (Emissions CH4),1994,0.0435
Japan,Sugar cane,Burning crop residues (Emissions CH4),1994,0.0315
Japan,Sugar cane,Burning crop residues (Emissions CH4),1995,0.0423
Japan,Sugar cane,Burning crop residues (Emissions CH4),1995,0.0306
Japan,Sugar cane,Burning crop residues (Emissions CH4),1996,0.0418
Japan,Sugar cane,Burning crop residues (Emissions CH4),1996,0.0302
Japan,Sugar cane,Burning crop residues (Emissions CH4),1997,0.0395
Japan,Sugar cane,Burning crop residues (Emissions CH4),1997,0.0286
Japan,Sugar cane,Burning crop residues (Emissions CH4),1998,0.0393
Japan,Sugar cane,Burning crop residues (Emissions CH4),1998,0.0285
Japan,Sugar cane,Burning crop residues (Emissions CH4),1999,0.04
Japan,Sugar cane,Burning crop residues (Emissions CH4),1999,0.029
Japan,Sugar cane,Burning crop residues (Emissions CH4),2000,0.0405
Japan,Sugar cane,Burning crop residues (Emissions CH4),2000,0.0294
Japan,Sugar cane,Burning crop residues (Emissions CH4),2001,0.04
Japan,Sugar cane,Burning crop residues (Emissions CH4),2001,0.029
Japan,Sugar cane,Burning crop residues (Emissions CH4),2002,0.0418
Japan,Sugar cane,Burning crop residues (Emissions CH4),2002,0.0302
Japan,Sugar cane,Burning crop residues (Emissions CH4),2003,0.0421
Japan,Sugar cane,Burning crop residues (Emissions CH4),2003,0.0304
Japan,Sugar cane,Burning crop residues (Emissions CH4),2004,0.0407
Japan,Sugar cane,Burning crop residues (Emissions CH4),2004,0.0295
Japan,Sugar cane,Burning crop residues (Emissions CH4),2005,0.0374
Japan,Sugar cane,Burning crop residues (Emissions CH4),2005,0.0271
Japan,Sugar cane,Burning crop residues (Emissions CH4),2006,0.0381
Japan,Sugar cane,Burning crop residues (Emissions CH4),2006,0.0276
Japan,Sugar cane,Burning crop residues (Emissions CH4),2007,0.0388
Japan,Sugar cane,Burning crop residues (Emissions CH4),2007,0.0281
Japan,Sugar cane,Burning crop residues (Emissions CH4),2008,0.039
Japan,Sugar cane,Burning crop residues (Emissions CH4),2008,0.0282
Japan,Sugar cane,Burning crop residues (Emissions CH4),2009,0.0404
Japan,Sugar cane,Burning crop residues (Emissions CH4),2009,0.0292
Japan,Sugar cane,Burning crop residues (Emissions CH4),2010,0.0407
Japan,Sugar cane,Burning crop residues (Emissions CH4),2010,0.0295
Japan,Sugar cane,Burning crop residues (Emissions CH4),2011,0.0397
Japan,Sugar cane,Burning crop residues (Emissions CH4),2011,0.0287
Japan,Sugar cane,Burning crop residues (Emissions CH4),2012,0.0404
Japan,Sugar cane,Burning crop residues (Emissions CH4),2012,0.0292
Japan,Sugar cane,Burning crop residues (Emissions CH4),2013,0.0384
Japan,Sugar cane,Burning crop residues (Emissions CH4),2013,0.0278
Japan,Sugar cane,Burning crop residues (Emissions CH4),2014,0.0402
Japan,Sugar cane,Burning crop residues (Emissions CH4),2014,0.0291
Japan,Sugar cane,Burning crop residues (Emissions CH4),2015,0.0411
Japan,Sugar cane,Burning crop residues (Emissions CH4),2015,0.0297
Japan,Sugar cane,Burning crop residues (Emissions CH4),2016,0.0402
Japan,Sugar cane,Burning crop residues (Emissions CH4),2016,0.0291
Japan,Sugar cane,Burning crop residues (Emissions CH4),2017,0.0416
Japan,Sugar cane,Burning crop residues (Emissions CH4),2017,0.0301
Japan,Sugar cane,Burning crop residues (Emissions CH4),2018,0.0397
Japan,Sugar cane,Burning crop residues (Emissions CH4),2018,0.0287
Japan,Sugar cane,Burning crop residues (Emissions CH4),2019,0.0388
Japan,Sugar cane,Burning crop residues (Emissions CH4),2019,0.0281
Japan,Sugar cane,Burning crop residues (Emissions CH4),2020,0.0395
Japan,Sugar cane,Burning crop residues (Emissions CH4),2020,0.0286
Japan,Sugar cane,Burning crop residues (Emissions CH4),2021,0.0409
Japan,Sugar cane,Burning crop residues (Emissions CH4),2022,0.0405
Japan,Sugar cane,Burning crop residues (Emissions CH4),2030,0.0364
Japan,Sugar cane,Burning crop residues (Emissions CH4),2050,0.034
Japan,Potatoes,Crop residues (Emissions N2O),1961,0.1641
Japan,Potatoes,Crop residues (Emissions N2O),1962,0.16
Japan,Potatoes,Crop residues (Emissions N2O),1963,0.1516
Japan,Potatoes,Crop residues (Emissions N2O),1964,0.1666
Japan,Potatoes,Crop residues (Emissions N2O),1965,0.1659
Japan,Potatoes,Crop residues (Emissions N2O),1966,0.1457
Japan,Potatoes,Crop residues (Emissions N2O),1967,0.1457
Japan,Potatoes,Crop residues (Emissions N2O),1968,0.1558
Japan,Potatoes,Crop residues (Emissions N2O),1969,0.1421
Japan,Potatoes,Crop residues (Emissions N2O),1970,0.1352
Japan,Potatoes,Crop residues (Emissions N2O),1971,0.1273
Japan,Potatoes,Crop residues (Emissions N2O),1972,0.1309
Japan,Potatoes,Crop residues (Emissions N2O),1973,0.1266
Japan,Potatoes,Crop residues (Emissions N2O),1974,0.1138
Japan,Potatoes,Crop residues (Emissions N2O),1975,0.1203
Japan,Potatoes,Crop residues (Emissions N2O),1976,0.1289
Japan,Potatoes,Crop residues (Emissions N2O),1977,0.1221
Japan,Potatoes,Crop residues (Emissions N2O),1978,0.1168
Japan,Potatoes,Crop residues (Emissions N2O),1979,0.1168
Japan,Potatoes,Crop residues (Emissions N2O),1980,0.1169
Japan,Potatoes,Crop residues (Emissions N2O),1981,0.1115
Japan,Potatoes,Crop residues (Emissions N2O),1982,0.1253
Japan,Potatoes,Crop residues (Emissions N2O),1983,0.1215
Japan,Potatoes,Crop residues (Emissions N2O),1984,0.1255
Japan,Potatoes,Crop residues (Emissions N2O),1985,0.1256
Japan,Potatoes,Crop residues (Emissions N2O),1986,0.1323
Japan,Potatoes,Crop residues (Emissions N2O),1987,0.1289
Japan,Potatoes,Crop residues (Emissions N2O),1988,0.124
Japan,Potatoes,Crop residues (Emissions N2O),1989,0.1186
Japan,Potatoes,Crop residues (Emissions N2O),1990,0.1163
Japan,Potatoes,Crop residues (Emissions N2O),1991,0.1158
Japan,Potatoes,Crop residues (Emissions N2O),1992,0.1134
Japan,Potatoes,Crop residues (Emissions N2O),1993,0.1113
Japan,Potatoes,Crop residues (Emissions N2O),1994,0.1098
Japan,Potatoes,Crop residues (Emissions N2O),1995,0.1079
Japan,Potatoes,Crop residues (Emissions N2O),1996,0.102
Japan,Potatoes,Crop residues (Emissions N2O),1997,0.1108
Japan,Potatoes,Crop residues (Emissions N2O),1998,0.1005
Japan,Potatoes,Crop residues (Emissions N2O),1999,0.0975
Japan,Potatoes,Crop residues (Emissions N2O),2000,0.0949
Japan,Potatoes,Crop residues (Emissions N2O),2001,0.0955
Japan,Potatoes,Crop residues (Emissions N2O),2002,0.0973
Japan,Potatoes,Crop residues (Emissions N2O),2003,0.0932
Japan,Potatoes,Crop residues (Emissions N2O),2004,0.0916
Japan,Potatoes,Crop residues (Emissions N2O),2005,0.0889
Japan,Potatoes,Crop residues (Emissions N2O),2006,0.0866
